thisRow.t,notes,test_stage_page.start,test_stage_page.stop,Trial,Game,fixation.start,fixation.stop,new_round.start,new_round.stop,step,participant,treatment,date,expName,psychopyVersion,frameRate,
,,13.868036167000355,17.749806775200707,1,7,17.772304292000626,22.758320120800455,22.7667605000006,26.759685037800047,,23092301,test,2023-09-23-0105,Race Game,2023.1.3,None,
,,,,1,7,26.762086292000276,27.76066224580027,,,1,,,,,,,
