thisRow.t,notes,test_stage_page.start,test_stage_page.stop,Trial,Game,fixation.start,fixation.stop,new_round.start,new_round.stop,step,Mover,choice.start,choice.stop,choice,choice.rt,missed,show_choice.start,show_choice.stop,win_page.start,win_page.stop,accumulated_reward,reward.start,reward.stop,participant,treatment,date,expName,psychopyVersion,frameRate,
,,9.746348317999946,18.604254378666624,1,7,18.617151049000086,23.621124041666704,23.619977030999962,27.620971936666606,,,,,,,,,,,,,,,23092300,test,2023-09-23-0012,Race Game,2023.1.3,None,
,,,,1,7,27.61028830700002,30.110564067666715,,,1,subject,30.13298055600012,44.04903865566668,3,13.894547604000081,False,44.05061327900012,46.063548806666645,,,,,,23092300,test,2023-09-23-0012,Race Game,2023.1.3,None,
,,,,1,7,46.05383930500011,48.553932730666716,,,2,subject,48.56096154700003,49.18711327166672,3,0.6048793610000303,False,49.19203257899994,51.189251603666676,,,,,,23092300,test,2023-09-23-0012,Race Game,2023.1.3,None,
,,,,1,7,51.18704041000001,53.18734604966677,,,3,subject,53.18635001000007,53.63678073066673,1,0.43122741300021517,False,53.63381041899993,55.6370186026668,,,,,,23092300,test,2023-09-23-0012,Race Game,2023.1.3,None,
,,,,1,7,,,,,,,,,,,,,,55.63250276500003,59.63936014366665,20,,,23092300,test,2023-09-23-0012,Race Game,2023.1.3,None,
,,,,2,5,59.63684397199995,65.63670993766665,65.6380106260001,69.64457055566665,,,,,,,,,,,,,,,23092300,test,2023-09-23-0012,Race Game,2023.1.3,None,
,,,,2,5,69.63676060300008,72.63668787566668,,,1,subject,72.63692370500007,77.2463657566666,2,4.582180662999917,False,77.24432572,79.2439630006668,,,,,,23092300,test,2023-09-23-0012,Race Game,2023.1.3,None,
,,,,2,5,79.23626597800012,81.2362761886666,,,2,subject,81.23985495000011,82.4335544246667,2,1.1650491079999483,False,82.43177753600003,84.4362154536666,,,,,,23092300,test,2023-09-23-0012,Race Game,2023.1.3,None,
,,,,2,5,84.42534372499995,85.92590194366677,,,3,subject,85.92626262499994,86.54250273666663,1,0.5898801179998827,False,86.53887381999994,88.5466766896666,,,,,,23092300,test,2023-09-23-0012,Race Game,2023.1.3,None,
,,,,2,5,,,,,,,,,,,,,,88.54274591400008,92.54560641066679,40,,,23092300,test,2023-09-23-0012,Race Game,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,40,92.55977755000004,97.55264317566663,,,,,,,
