thisRow.t,notes,test_stage_page.start,test_stage_page.stop,Trial,Game,fixation.start,fixation.stop,new_round.start,new_round.stop,step,Mover,choice.start,choice.stop,choice,choice.rt,missed,show_choice.start,show_choice.stop,win_page.start,win_page.stop,accumulated_reward,participant,treatment,date,expName,psychopyVersion,frameRate,
,,9.652093340999272,18.409179121900163,1,7,18.42018241199912,26.415778716301066,26.431507887999032,30.409760892299165,,,,,,,,,,,,,23092223,test,2023-09-22-2310,Race Game,2023.1.3,120.16181085906976,
,,,,1,7,30.408157281999593,31.408948977298497,,,1,subject,31.436569870998937,52.38069762930063,3,20.92969778800034,False,52.401014864997705,54.40084219930104,,,,23092223,test,2023-09-22-2310,Race Game,2023.1.3,120.16181085906976,
,,,,1,7,54.40929258200049,55.391680186300434,,,2,subject,55.410045184999035,57.46716190030092,3,2.0427788630004216,False,57.489573087998,59.4721713272982,,,,23092223,test,2023-09-22-2310,Race Game,2023.1.3,120.16181085906976,
,,,,1,7,59.47708253299788,62.47483158729919,,,3,subject,62.48367320000034,64.1693170862989,1,1.675908620996779,False,64.17572759199902,66.17484398329798,,,,23092223,test,2023-09-22-2310,Race Game,2023.1.3,120.16181085906976,
,,,,1,7,,,,,,,,,,,,,,66.1802590849984,70.17476185729792,20,23092223,test,2023-09-22-2310,Race Game,2023.1.3,120.16181085906976,
,,,,2,5,70.17356374999872,75.67446842330064,75.68351927500044,79.67442587330042,,,,,,,,,,,,,23092223,test,2023-09-22-2310,Race Game,2023.1.3,120.16181085906976,
,,,,2,5,79.68299440299961,82.67425474829979,,,1,,,,,,,,,,,,,,,,,,
