thisRow.t,notes,test_stage_page.start,test_stage_page.stop,Trial,Game,fixation.start,fixation.stop,new_round.start,new_round.stop,step,Mover,choice.start,choice.stop,choice,choice.rt,missed,show_choice.start,show_choice.stop,participant,treatment,date,expName,psychopyVersion,frameRate,
,,13.787779226999987,16.9140151976667,1,7,16.927594064999994,21.930801654666666,21.929469542999982,25.930802655666653,,,,,,,,,,23092223,test,2023-09-22-2356,Race Game,2023.1.3,None,
,,,,1,7,25.92066472099998,28.420409613666735,,,1,subject,28.442804039000066,57.02400392466667,3,28.553687029000002,False,57.022916147000046,59.032275833666645,23092223,test,2023-09-22-2356,Race Game,2023.1.3,None,
,,,,1,7,59.03012096000009,61.53000598466669,,,2,subject,61.53702370100007,68.58558666966668,3,7.023729322999998,False,68.58562558699998,70.58573772366675,23092223,test,2023-09-22-2356,Race Game,2023.1.3,None,
,,,,1,7,70.57943124899998,71.57959389966665,,,3,subject,71.57777800400004,72.5963645246667,1,0.9782869330000494,False,72.596076563,74.5963741996667,23092223,test,2023-09-22-2356,Race Game,2023.1.3,None,
,,,,1,7,,,,,,,,,,,,,,,,,,,,
