7.5635 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1200]. Using actual size
11.0043 	EXP 	Created text_computer_turn = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='cwTeX Q HeiZH', fontFiles=[], height=0.08, italic=False, languageStyle='LTR', name='text_computer_turn', opacity=1.0, ori=0.0, pos=array([0.  , 0.35]), rgb=UNKNOWN, text='現在輪到「電腦」做選擇', units='height', win=Window(...), wrapWidth=1920.0)
11.0044 	EXP 	window1: mouseVisible = True
11.0089 	EXP 	Created text_round_end = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='cwTeX Q HeiZH', fontFiles=[], height=0.08, italic=False, languageStyle='LTR', name='text_round_end', opacity=1.0, ori=0.0, pos=array([0.  , 0.35]), rgb=UNKNOWN, text='回合結束', units='height', win=Window(...), wrapWidth=1920.0)
11.0090 	EXP 	window1: mouseVisible = True
11.0150 	EXP 	Created text_subject_win = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='cwTeX Q HeiZH', fontFiles=[], height=0.08, italic=False, languageStyle='LTR', name='text_subject_win', opacity=1.0, ori=0.0, pos=array([ 0.  , -0.23]), rgb=UNKNOWN, text='本回合由您獲勝', units='height', win=Window(...), wrapWidth=1920.0)
11.0151 	EXP 	window1: mouseVisible = True
11.0181 	EXP 	Created text_computer_win = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='cwTeX Q HeiZH', fontFiles=[], height=0.08, italic=False, languageStyle='LTR', name='text_computer_win', opacity=1.0, ori=0.0, pos=array([ 0.  , -0.23]), rgb=UNKNOWN, text='本回合由電腦獲勝', units='height', win=Window(...), wrapWidth=1920.0)
11.0182 	EXP 	window1: mouseVisible = True
11.0214 	EXP 	Created text_computer_option = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, draggable=False, flipHoriz=False, flipVert=False, font='cwTeX Q HeiZH', fontFiles=[], height=0.08, italic=False, languageStyle='LTR', name='text_computer_option', opacity=1.0, ori=0.0, pos=array([-0.18, -0.23]), rgb=UNKNOWN, text='電腦的選擇', units='height', win=Window(...), wrapWidth=1920.0)
11.0215 	EXP 	window1: mouseVisible = True
11.0241 	EXP 	Created text_subject_option = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, draggable=False, flipHoriz=False, flipVert=False, font='cwTeX Q HeiZH', fontFiles=[], height=0.08, italic=False, languageStyle='LTR', name='text_subject_option', opacity=1.0, ori=0.0, pos=array([-0.18, -0.23]), rgb=UNKNOWN, text='您的選擇', units='height', win=Window(...), wrapWidth=1920.0)
11.0244 	EXP 	window1: mouseVisible = True
11.0245 	EXP 	window1: mouseVisible = True
11.0251 	EXP 	window1: mouseVisible = True
11.0257 	EXP 	window1: mouseVisible = True
11.0464 	EXP 	window1: mouseVisible = True
11.0466 	EXP 	window1: mouseVisible = True
11.0472 	EXP 	window1: mouseVisible = True
11.0477 	EXP 	window1: mouseVisible = True
11.0872 	EXP 	window1: mouseVisible = True
11.0873 	EXP 	window1: mouseVisible = True
11.0879 	EXP 	window1: mouseVisible = True
11.0884 	EXP 	window1: mouseVisible = True
11.0974 	EXP 	window1: mouseVisible = True
11.0976 	EXP 	window1: mouseVisible = True
11.0981 	EXP 	window1: mouseVisible = True
11.0986 	EXP 	window1: mouseVisible = True
11.1044 	EXP 	window1: mouseVisible = True
11.1046 	EXP 	window1: mouseVisible = True
11.1051 	EXP 	window1: mouseVisible = True
11.1057 	EXP 	window1: mouseVisible = True
11.1148 	EXP 	window1: mouseVisible = True
11.1149 	EXP 	window1: mouseVisible = True
11.1155 	EXP 	window1: mouseVisible = True
11.1160 	EXP 	window1: mouseVisible = True
11.1218 	EXP 	window1: mouseVisible = True
11.1219 	EXP 	window1: mouseVisible = True
11.1224 	EXP 	window1: mouseVisible = True
11.1230 	EXP 	window1: mouseVisible = True
11.1320 	EXP 	window1: mouseVisible = True
11.1321 	EXP 	window1: mouseVisible = True
11.1327 	EXP 	window1: mouseVisible = True
11.1332 	EXP 	window1: mouseVisible = True
11.1389 	EXP 	window1: mouseVisible = True
11.1416 	EXP 	Created text_fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
11.1417 	EXP 	window1: mouseVisible = True
11.1431 	EXP 	Created text_reward = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='cwTeX Q HeiZH', fontFiles=[], height=0.08, italic=False, languageStyle='LTR', name='text_reward', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
11.1748 	EXP 	choice1_box: autoLog = True
11.1748 	EXP 	choice2_box: autoLog = True
11.1748 	EXP 	choice2_box: autoLog = True
11.1748 	EXP 	choice2_box: autoLog = True
11.1748 	EXP 	text_test_stage: autoDraw = True
15.8037 	DATA 	Keypress: space
15.8126 	EXP 	text_test_stage: autoDraw = False
15.8126 	EXP 	text_fixation: autoDraw = True
23.3118 	EXP 	text_fixation: autoDraw = False
23.3118 	EXP 	text_current_num: text = '當前數字 \n0'
23.3118 	EXP 	text_target_num: height = 0.08
23.3118 	EXP 	text_target_num: height = 0.08
23.3118 	EXP 	text_target_num: height = 0.08
23.3118 	EXP 	text_target_num: text = '目標數字 \n7'
23.3118 	EXP 	text_new_round: height = 0.08
23.3118 	EXP 	text_new_round: height = 0.08
23.3118 	EXP 	text_new_round: height = 0.08
23.3118 	EXP 	text_new_round: text = '新回合開始，目標數字 7'
23.3118 	EXP 	text_new_round: autoDraw = True
23.3118 	EXP 	text_current_num: autoDraw = True
23.3118 	EXP 	text_target_num: autoDraw = True
27.3023 	EXP 	text_new_round: autoDraw = False
27.3023 	EXP 	text_current_num: autoDraw = False
27.3023 	EXP 	text_target_num: autoDraw = False
27.3023 	EXP 	text_fixation: autoDraw = True
28.8361 	EXP 	text_fixation: autoDraw = False
28.8361 	EXP 	choice1_box: foreColor = '#000000'
28.8361 	EXP 	choice2_box: foreColor = '#000000'
28.8361 	EXP 	choice2_box: foreColor = '#000000'
28.8361 	EXP 	text_current_num: text = '當前數字 \n0'
28.8361 	EXP 	text_target_num: text = '目標數字 \n7'
28.8361 	EXP 	text_subject_turn: autoDraw = True
28.8361 	EXP 	text_current_num: autoDraw = True
28.8361 	EXP 	text_target_num: autoDraw = True
28.8361 	EXP 	text_subject_option: autoDraw = True
28.8361 	EXP 	choice1_box: autoDraw = True
28.8361 	EXP 	choice2_box: autoDraw = True
28.8361 	EXP 	choice2_box: autoDraw = True
48.7294 	DATA 	Keypress: escape
50.0323 	EXP 	window1: mouseVisible = True
