thisRow.t,notes,test_stage_page.start,test_stage_page.stop,Trial,Game,fixation.start,fixation.stop,new_round.start,new_round.stop,step,participant,treatment,date,expName,psychopyVersion,frameRate,
,,12.095149210999978,19.65058214719999,1,7,19.649667007999994,26.65100313919998,26.656766432999973,30.655491105199978,,23092223,test,2023-09-22-2352,Race Game,2023.1.3,94.71982085378444,
,,,,1,7,30.656681950999996,33.16026922219998,,,1,,,,,,,
